;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 15/09/2021 20:39:39
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0x158A      	BSF        PCLATH, 3
0x0001	0x291F      	GOTO       2335
_interrupt:
0x0004	0x00FF      	MOVWF      R15
0x0005	0x0E03      	SWAPF      STATUS, 0
0x0006	0x0183      	CLRF       STATUS
0x0007	0x00DA      	MOVWF      ___saveSTATUS
0x0008	0x080A      	MOVF       PCLATH, 0
0x0009	0x00DB      	MOVWF      ___savePCLATH
0x000A	0x018A      	CLRF       PCLATH
0x000B	0x0870      	MOVF       R0, 0
0x000C	0x00A5      	MOVWF      37
0x000D	0x087B      	MOVF       R11, 0
0x000E	0x00A4      	MOVWF      36
0x000F	0x087C      	MOVF       R12, 0
0x0010	0x00A3      	MOVWF      35
0x0011	0x087D      	MOVF       R13, 0
0x0012	0x00A2      	MOVWF      34
;MyProject.c,145 :: 		void interrupt()
;MyProject.c,147 :: 		if (T0IF_bit)                //Houve estouro do timer 0 ?
0x0013	0x1D0B      	BTFSS      T0IF_bit, BitPos(T0IF_bit+0)
0x0014	0x285E      	GOTO       L_interrupt12
;MyProject.c,149 :: 		T0IF_bit = 0x00;         //Reseta o flag da interrupcao
0x0015	0x110B      	BCF        T0IF_bit, BitPos(T0IF_bit+0)
;MyProject.c,150 :: 		TMR1L = 0xDC;            //Reinicia contagem com 3036
0x0016	0x30DC      	MOVLW      220
0x0017	0x008E      	MOVWF      TMR1L
;MyProject.c,151 :: 		TMR1H = 0x0B;
0x0018	0x300B      	MOVLW      11
0x0019	0x008F      	MOVWF      TMR1H
;MyProject.c,153 :: 		conta++;
0x001A	0x0AC4      	INCF       _conta, 1
0x001B	0x1903      	BTFSC      STATUS, 2
0x001C	0x0AC5      	INCF       _conta+1, 1
;MyProject.c,154 :: 		aux3++;
0x001D	0x0AA6      	INCF       _aux3, 1
0x001E	0x1903      	BTFSC      STATUS, 2
0x001F	0x0AA7      	INCF       _aux3+1, 1
;MyProject.c,155 :: 		if( aux = 1){
0x0020	0x3001      	MOVLW      1
0x0021	0x00AA      	MOVWF      _aux
0x0022	0x3000      	MOVLW      0
0x0023	0x00AB      	MOVWF      _aux+1
;MyProject.c,156 :: 		if (conta==30000)         //1us * 4 * 256  =  1,024ms  * 30000 ~= 6s
0x0024	0x0845      	MOVF       _conta+1, 0
0x0025	0x3A75      	XORLW      117
0x0026	0x1D03      	BTFSS      STATUS, 2
0x0027	0x282A      	GOTO       L__interrupt30
0x0028	0x3030      	MOVLW      48
0x0029	0x0644      	XORWF      _conta, 0
L__interrupt30:
0x002A	0x1D03      	BTFSS      STATUS, 2
0x002B	0x283F      	GOTO       L_interrupt14
;MyProject.c,158 :: 		RB2_bit = 0;            //Para o motor
0x002C	0x1106      	BCF        RB2_bit, BitPos(RB2_bit+0)
;MyProject.c,159 :: 		conta = 0;              //Reseta timer
0x002D	0x01C4      	CLRF       _conta
0x002E	0x01C5      	CLRF       _conta+1
;MyProject.c,160 :: 		RB3_bit = 1;            //Inicia o motor para outro lado
